Title,Company,Location,Source,Match %,Apply Link
Python Developer with Django,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"Bengaluru, Karnataka, India",Shine,67.14,https://www.google.com/search?ibp=htl;jobs&q=Django+Developer+Python+Bangalore+jobs&htidocid=bsOro2J_wRooBETLAAAAAA%3D%3D&hl=en-CA&shndl=37&shmd=H4sIAAAAAAAA_xXKyw7BQBQA0Nj6BKu7FlohNqxoJzUeJYjESm7rZqaMuc3MeP2cb8PmrE7z02gONu-g2UJKDzJck4NnFTSkF7SKoQtzLsATulLDb2XMylBrrEOo_SiOvTeR8gFDVUYl32K2VPArvnDh_5y8Rke1wUCn_rD3imqr2vNkssnESuYS9iKZ5evlOjvCTmwPMhE7kHkqJ7CUK7kXKVQWpmQVmru7d2CBzmLAK3ZA2nOFX0oh55fBAAAA&shmds=v1_AdeF8KhFr0YqfaHQwx9f5s1TZz-3wJbiIirCGik2itib0PFY_Q&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Django+Developer+Python+Bangalore+jobs&htidocid=bsOro2J_wRooBETLAAAAAA%3D%3D
Django Developer - Python,CROSSDEV TECHNOLOGIES PRIVATE LIMITED,"Bengaluru, Karnataka, India",Hirist,63.64,https://www.google.com/search?ibp=htl;jobs&q=Django+Developer+Python+Bangalore+jobs&htidocid=WbWLMvU49sFts1VyAAAAAA%3D%3D&hl=en-CA&shndl=37&shmd=H4sIAAAAAAAA_xXHzQ7BQBRA4dh6BKu7FlqR2LDCTGr8VbTpVm7rZtoac5uZITyY98Pm5Dv9T68_ES1azSDoSYY7cjCG0zvUbH_Ycgme0FU1_D5h1oYGizqEzs_j2HsTaR8wNFVU8T1mSyW_4pZL_8_F1-ioMxjoMp1NXlFn9VCsz2mWCVlALtebY7pPEyUzOJ1Vscwl7NVB5VJAY2FFVqN5uMcIdugsBrzhCJS9NvgFV53plLgAAAA&shmds=v1_AdeF8KhCFLADcEY_Ra10RjXK3IRQwDu8eCMHIjPjMHHP5Se_1Q&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Django+Developer+Python+Bangalore+jobs&htidocid=WbWLMvU49sFts1VyAAAAAA%3D%3D
Python Developer(ML Engineer),VARITE INC,"Bengaluru, Karnataka, India",LinkedIn,63.37,https://www.google.com/search?ibp=htl;jobs&q=Django+Developer+Python+Bangalore+jobs&htidocid=UMnfm412TWDNJdmDAAAAAA%3D%3D&hl=en-CA&shndl=37&shmd=H4sIAAAAAAAA_xXKOwrCQBAAUGxzBKspjcSsiDZa-QkSf4iIbZjEYbO6zoTdjehlPKvavOpFn040Pr5DLQwrepKVhlxvv4OMtWEiF8MANlKCJ3RVDb-2FtGWurM6hMZPlfLeptoHDKZKK3koYSrlpW5S-j-Fr9FRYzFQMZoMX2nDuh9f5qf8nEF-WIJhWBBrtK1rE9iiYwx4xwRyvhr8AhIa77OhAAAA&shmds=v1_AdeF8KjSoJd-5PLiHXd2DwRGwqMhPTVqM8YT6jWQjwZSOX0wJQ&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Django+Developer+Python+Bangalore+jobs&htidocid=UMnfm412TWDNJdmDAAAAAA%3D%3D
Backend Developer (Python/Django),Iterator,"Bengaluru, Karnataka, India",LinkedIn,61.97,https://www.google.com/search?ibp=htl;jobs&q=Django+Developer+Python+Bangalore+jobs&htidocid=u0sq3DNoRPyX69ZFAAAAAA%3D%3D&hl=en-CA&shndl=37&shmd=H4sIAAAAAAAA_xXESwrCMBAAUNz2CK5m54faiCCI7kpBqhtvUKZ1SNrGmZBMpd7Go4pv8bLvIjuV2I3ET6joTV4CRVg_PuqETTUgW9nADm7SQiKMnQNhuIpYT8uLUw3pbExKvrBJUfuu6ORlhKmV2QzSpn9NchgpeFRqDsf9XAS221WtFFElQs9QElv0U5xyuGNkVBwxh5qfPf4AYTeWbaMAAAA&shmds=v1_AdeF8KjHTz_XSbScfCy1FNn3yOIT8__zG2EYYkvKagwx2HqmXg&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Django+Developer+Python+Bangalore+jobs&htidocid=u0sq3DNoRPyX69ZFAAAAAA%3D%3D
Python Django Lead,R Systems,"Bengaluru, Karnataka, India",LinkedIn,60.68,https://www.google.com/search?ibp=htl;jobs&q=Django+Developer+Python+Bangalore+jobs&htidocid=5gmufcnHM9BPRwLPAAAAAA%3D%3D&hl=en-CA&shndl=37&shmd=H4sIAAAAAAAA_xXJOw6CQBAA0NhyBKsp1SBrTGy0MybGT2H0AGSAyQIuM2RnSOAanlhtXvOSzyxZPiarheHUInuBO2EFa7hKAUoYyxp-dxbxgeaH2qzXvXOqIfNqaE2ZldI5YSpkdK0U-ifXGiP1AY3y7W4zZj371eIJr0mNOoWG4UjsMQxxSOGGkdHwjSlcuGrwC3WhT-GVAAAA&shmds=v1_AdeF8KhimrYjSUupQvXVNapJnXnI_SER_sVIUNyBX3o8rDsNmg&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Django+Developer+Python+Bangalore+jobs&htidocid=5gmufcnHM9BPRwLPAAAAAA%3D%3D
Backend Developer at Cekura (Django),Cekura (YC F24),"Bengaluru, Karnataka, India",LinkedIn,58.51,https://www.google.com/search?ibp=htl;jobs&q=Django+Developer+Python+Bangalore+jobs&htidocid=uq6JtKTqYE982IdlAAAAAA%3D%3D&hl=en-CA&shndl=37&shmd=H4sIAAAAAAAA_zXNvQ6CMBAA4LjyCE43isHWGF1kA6JRn8CJHOVSfuodaYvhmXxK4-DyrV_yWSV5gWYkbqGiNzmZyANGKGmcPcKmGpCtpLCDuzQQCL3pQBiuItbROu9inMJZ6xCcsiFi7I0y8tLC1MiiB2nCjzp06GlyGKk-nPaLmthu1T95lnA5HFPoGQpii272cwYP9IwRR8zgxm2PXwDzLLetAAAA&shmds=v1_AdeF8KgDVtuZQTRnRu4uHZLl0RhCrYZVxQab5BA_wxJPmARKCw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Django+Developer+Python+Bangalore+jobs&htidocid=uq6JtKTqYE982IdlAAAAAA%3D%3D
